操作数
06:00,06:01,06:02,06:03,06:04,06:05,06:06,06:07,06:08,06:09,06:10,06:11,06:12,06:13,06:14,06:15,06:16,06:17,06:18,06:19,06:20,06:21,06:22,06:23,06:24,06:25,06:26,06:27,06:28,06:29,06:30,06:31,06:32,06:33,06:34,06:35,06:36,06:37,06:38,06:39,06:40,06:41,06:42,06:43,06:44,06:45,06:46,06:47,06:48,06:49,06:50,06:51,06:52,06:53,06:54,06:55,06:56,06:57,06:58,06:59,07:00,07:01,07:02,07:03,07:04,07:05,07:06,07:07,07:08,07:09,07:10,07:11,07:12,07:13,07:14,07:15,07:16,07:17,07:18,07:19,07:20,07:21,07:22,07:23,07:24,07:25,07:26,07:27,07:28,07:29,07:30,
1721027,欠,0,0,0,0,0,1,31,6,42,0,44,0,0,93,12,4,54,36,0,0,1,7,1,0,0,0,0,16,118,113,109,41,48,54,0,6,1,53,9,0,0,1,98,51,3,54,0,11,15,31,126,114,85,126,76,50,39,30,0,7,54,44,45,0,57,41,0,40,8,1,44,10,0,32,6,9,16,45,20,0,16,39,15,16,112,66,0,2,0,欠,
1821001,欠,欠,欠,0,0,2,0,0,33,16,34,8,24,13,44,56,0,1,13,64,0,1,0,0,1,105,82,1,104,77,59,34,0,0,1,21,0,0,1,36,23,4,41,18,49,20,0,1,1,16,34,68,90,99,112,71,72,0,0,20,0,46,0,52,57,14,51,41,0,34,2,0,56,35,0,0,51,5,7,25,2,0,49,39,0,34,74,40,83,欠,欠,
1821002,欠,欠,欠,欠,13,0,50,0,0,0,36,37,0,71,93,1,0,138,67,0,0,0,2,34,119,1,31,136,92,17,153,1,18,0,54,95,5,1,50,154,99,13,64,60,欠,16,4,0,0,0,11,113,126,141,124,114,110,58,89,21,54,83,58,83,44,63,4,78,41,15,21,0,83,0,57,30,26,59,68,0,0,0,0,81,36,101,98,0,欠,欠,欠,
1821004,欠,欠,欠,欠,欠,2,0,85,0,24,50,7,37,2,93,65,0,22,61,3,15,13,0,0,0,61,54,42,99,58,0,127,50,0,0,28,42,4,0,0,0,0,16,0,0,127,0,0,0,0,4,31,134,96,130,150,0,0,0,16,0,0,0,78,21,0,30,30,26,0,0,0,0,0,59,40,8,0,0,0,0,2,0,0,4,98,58,61,66,欠,欠,
1821005,欠,欠,欠,3,0,2,53,9,2,48,2,59,20,2,86,36,0,66,83,9,0,1,0,2,64,18,6,60,79,0,86,23,4,0,37,0,0,1,14,13,0,0,0,51,32,1,0,0,10,0,21,66,102,98,85,80,72,0,0,0,30,0,0,81,38,0,67,0,0,54,0,0,60,0,30,2,0,35,18,2,14,34,59,0,0,101,78,24,欠,欠,欠,
1821006,欠,12,4,欠,0,6,29,2,0,36,0,39,0,1,146,2,0,77,0,0,0,0,1,1,74,0,0,130,23,1,150,61,0,0,25,0,0,20,35,9,20,0,8,78,0,1,2,0,1,17,24,176,176,46,1,0,0,1,24,0,0,1,35,54,0,65,14,1,27,1,0,48,2,0,28,0,11,23,16,0,0,0,56,15,0,151,37,0,欠,23,欠,
1821007,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,50,26,32,3,72,38,4,0,76,3,0,0,0,0,26,80,0,37,37,74,27,94,29,0,0,25,0,0,0,0,0,0,15,0,42,45,2,0,0,0,4,78,16,92,24,105,50,16,0,19,9,1,0,24,92,0,32,43,28,1,0,0,0,4,45,33,0,0,1,0,0,0,0,0,0,0,72,106,36,欠,
1821009,欠,欠,欠,3,0,0,0,31,0,35,0,34,0,0,116,10,0,68,28,0,1,2,0,1,56,49,12,85,83,0,117,0,0,8,52,0,0,1,57,28,19,0,0,116,0,6,6,3,7,18,32,92,171,77,1,1,9,0,34,98,24,55,3,13,14,29,31,4,43,54,8,16,17,59,39,0,12,38,11,38,71,13,106,26,38,155,17,11,0,0,欠,
1821012,0,0,0,0,0,0,31,0,1,43,0,20,0,0,83,7,0,72,0,0,0,2,0,0,55,21,0,15,83,11,78,0,0,0,20,19,22,0,0,0,1,0,10,51,0,1,0,0,0,14,9,68,66,62,102,56,15,3,0,0,15,32,23,37,0,40,21,0,29,0,0,20,27,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,
1821014,欠,欠,欠,欠,欠,欠,欠,15,81,40,0,0,45,5,55,98,0,91,72,19,1,0,0,3,38,47,0,75,166,0,124,72,0,0,2,1,43,0,0,13,21,15,24,51,0,0,59,0,0,5,98,233,188,30,0,0,0,0,15,2,0,68,0,90,32,0,85,0,10,78,0,0,80,22,24,0,27,1,6,35,30,0,55,43,1,220,89,0,0,欠,欠,
1821016,0,0,0,0,0,0,23,0,7,34,1,31,0,0,69,26,1,60,0,0,1,2,0,1,60,52,0,70,61,1,96,0,1,0,16,7,22,9,0,1,0,0,1,82,0,8,0,0,0,0,32,96,98,51,0,20,18,0,0,0,0,0,5,79,26,36,34,0,26,0,0,26,28,12,29,20,24,43,0,0,0,0,12,42,25,35,83,0,1,欠,欠,
1821020,2,0,0,欠,7,欠,28,2,0,44,0,36,3,0,56,56,1,56,23,0,0,1,0,0,6,109,0,19,106,27,79,110,1,0,55,1,0,9,29,17,8,12,0,64,0,3,0,3,2,6,0,86,129,71,57,0,0,9,3,21,8,32,0,76,0,1,51,0,27,0,3,0,66,2,28,0,23,6,0,10,0,2,19,44,1,91,60,2,73,20,欠,
1821021,欠,22,135,5,14,22,80,0,欠,39,0,0,4,47,139,18,39,83,1,1,0,0,1,12,87,0,14,143,96,101,98,6,5,64,0,0,0,56,23,0,0,0,1,147,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,54,0,0,0,0,0,50,76,48,78,62,107,180,81,欠,欠,欠,
1821026,3,0,0,1,2,0,39,0,0,53,0,51,10,0,140,56,0,110,47,0,0,0,0,1,87,0,0,150,72,9,142,69,2,0,66,0,0,23,21,0,0,0,0,0,88,28,0,0,1,5,39,171,138,184,172,38,0,0,38,0,120,0,72,0,10,115,23,33,10,14,7,欠,146,2,62,37,109,55,68,10,0,0,0,0,7,221,23,欠,0,欠,欠,
1821028,欠,欠,1,0,0,1,0,0,25,74,0,0,45,1,100,0,0,57,欠,欠,10,1,0,0,88,0,0,61,91,0,60,44,1,0,0,26,0,0,21,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,64,欠,120,5,6,14,0,0,53,94,0,0,0,0,0,0,0,0,0,0,1,69,45,35,0,7,3,0,105,123,70,166,101,77,欠,欠,欠,
1821029,0,9,4,0,0,19,52,0,0,92,0,77,0,0,196,38,0,0,0,155,0,0,0,0,133,111,0,159,82,0,173,0,0,0,37,0,51,0,0,0,0,0,0,150,1,0,0,0,2,6,17,54,177,27,56,0,0,0,24,1,0,5,33,85,0,0,88,0,89,0,0,0,67,0,77,8,0,0,0,0,13,14,50,64,0,298,15,0,91,0,欠,
1821032,欠,欠,欠,欠,欠,欠,0,0,28,0,0,51,10,0,61,40,0,0,63,17,0,0,0,0,0,0,32,124,83,0,59,2,0,0,15,0,0,0,0,0,21,10,0,欠,76,80,64,0,0,0,0,93,91,103,94,103,21,0,0,0,0,0,0,0,86,51,0,0,0,97,4,0,21,21,75,115,32,16,9,31,23,24,41,46,1,70,51,欠,欠,欠,欠,
1821033,0,0,44,28,3,1,0,2,1,58,10,26,11,0,107,0,0,60,11,0,0,1,0,1,72,0,0,150,0,5,78,0,0,0,25,0,0,13,16,0,0,0,19,72,0,1,0,0,1,4,25,183,187,118,27,17,0,7,30,0,42,0,45,0,0,98,26,95,5,54,29,35,18,49,16,26,1,32,20,8,0,0,59,1,113,27,0,欠,欠,欠,欠,
1821034,0,0,0,0,0,28,0,1,34,0,31,11,0,14,114,0,5,81,0,0,0,0,0,9,74,0,51,129,0,0,117,0,0,6,38,0,0,10,25,15,0,0,93,0,1,0,0,4,0,7,欠,135,166,101,165,159,128,0,0,15,0,0,0,61,52,0,57,0,31,0,0,14,0,55,17,14,0,5,14,0,0,10,54,16,0,59,132,0,6,14,欠,
