操作数
06:00,06:01,06:02,06:03,06:04,06:05,06:06,06:07,06:08,06:09,06:10,06:11,06:12,06:13,06:14,06:15,06:16,06:17,06:18,06:19,06:20,06:21,06:22,06:23,06:24,06:25,06:26,06:27,06:28,06:29,06:30,06:31,06:32,06:33,06:34,06:35,06:36,06:37,06:38,06:39,06:40,06:41,06:42,06:43,06:44,06:45,06:46,06:47,06:48,06:49,06:50,06:51,06:52,06:53,06:54,06:55,06:56,06:57,06:58,06:59,07:00,07:01,07:02,07:03,07:04,07:05,07:06,07:07,07:08,07:09,07:10,07:11,07:12,07:13,07:14,07:15,07:16,07:17,07:18,07:19,07:20,07:21,07:22,07:23,07:24,07:25,07:26,07:27,07:28,07:29,07:30,
1721027,欠,0,0,0,3,16,1,8,1,3,0,3,0,0,5,0,0,10,2,0,0,0,26,11,0,0,0,0,1,8,4,3,3,1,7,0,0,0,3,1,0,0,0,4,4,0,7,11,12,6,19,3,4,5,2,0,3,2,3,0,1,3,2,2,0,3,1,0,2,0,0,4,0,0,3,0,1,2,7,1,0,2,4,0,1,1,1,1,1,30,欠,
1821001,欠,欠,欠,0,0,0,0,1,11,3,1,1,2,4,3,3,0,0,2,5,0,0,0,0,1,3,0,0,5,4,2,0,0,0,2,1,0,0,0,1,2,13,18,4,2,0,0,0,0,1,0,3,3,3,0,1,2,0,0,1,0,2,0,1,2,0,2,2,0,2,0,0,2,2,0,0,3,0,1,1,1,0,7,1,0,3,1,4,2,欠,欠,
1821002,欠,欠,欠,欠,1,1,1,0,0,0,3,3,0,3,2,0,0,3,3,0,0,0,0,5,3,26,2,8,1,1,1,18,1,0,1,3,0,4,3,0,0,1,4,1,欠,1,2,0,0,0,1,0,2,1,1,6,5,0,3,1,0,1,1,3,1,4,0,3,2,0,5,0,4,0,4,0,2,2,3,0,0,0,0,7,0,6,6,1,欠,欠,欠,
1821004,欠,欠,欠,欠,欠,77,8,1,0,3,1,0,6,0,3,2,0,2,4,0,0,0,0,0,1,2,1,3,7,4,0,0,1,0,0,1,0,0,0,0,0,0,3,23,0,4,0,0,0,0,1,1,2,1,3,0,0,0,0,2,0,0,0,6,1,0,3,1,11,0,0,0,0,0,4,3,0,0,0,0,0,9,0,1,1,4,5,1,3,欠,欠,
1821005,欠,欠,欠,1,0,1,1,0,0,3,0,3,0,0,5,1,0,1,6,0,0,0,0,0,4,0,0,4,5,0,2,0,0,0,1,0,0,0,4,1,0,0,0,3,1,0,0,0,1,0,3,0,5,2,4,0,0,0,0,0,1,0,0,3,2,0,6,0,0,2,0,0,4,0,3,0,0,4,1,0,1,2,5,1,0,4,5,1,欠,欠,欠,
1821006,欠,0,2,欠,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,3,0,0,0,2,0,0,5,4,0,1,0,3,0,0,0,0,0,1,2,1,5,2,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,2,0,0,1,0,2,2,6,0,0,0,2,1,0,0,0,0,欠,0,欠,
1821007,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,4,2,3,0,4,1,1,0,12,0,0,0,0,0,1,3,0,4,2,6,1,3,0,0,0,1,0,0,0,0,0,0,4,0,3,1,0,0,0,0,2,2,0,2,2,4,1,0,0,6,3,0,0,4,4,0,2,2,2,0,0,0,0,1,3,4,0,0,0,0,0,0,1,0,0,0,2,9,6,欠,
1821009,欠,欠,欠,0,0,0,0,3,2,3,0,3,0,0,5,0,0,5,1,0,0,0,0,0,4,1,0,4,5,0,1,0,0,0,1,0,0,0,2,2,1,0,0,3,0,1,0,0,0,0,2,2,3,1,0,0,0,0,2,5,0,2,0,0,0,1,0,1,0,2,3,0,3,10,2,2,4,2,1,4,2,3,3,1,2,1,1,1,0,0,欠,
1821012,0,0,0,0,4,0,3,0,0,5,0,4,0,0,5,3,1,7,0,0,0,0,0,0,4,1,0,2,9,2,3,0,0,0,1,3,3,0,0,0,0,0,1,3,1,0,0,0,1,3,2,5,2,3,1,0,3,0,0,0,1,1,1,2,0,3,2,0,1,1,0,2,2,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,
1821014,欠,欠,欠,欠,欠,欠,欠,9,22,6,0,0,3,0,1,0,0,3,36,6,0,0,0,3,1,0,0,2,2,0,2,1,0,0,1,1,1,0,0,2,3,1,29,10,0,0,2,0,0,2,3,2,5,0,0,0,0,0,3,1,0,1,0,1,0,0,4,0,1,1,0,0,2,5,29,0,1,2,7,4,4,0,2,4,2,3,0,20,3,欠,欠,
1821016,0,0,0,0,17,0,2,0,4,2,2,3,0,0,5,1,2,5,0,0,1,0,0,1,4,0,1,5,4,2,2,1,0,0,1,2,4,1,0,1,0,0,1,4,0,3,0,0,0,1,1,1,4,1,0,3,2,0,0,0,0,0,1,3,1,3,3,0,3,1,0,2,10,12,5,3,2,6,0,0,0,0,1,3,0,2,1,1,1,欠,欠,
