操作数
1821012,,1821066,,1821077,,1821080,,1821086,,1821088,,1821099,,1821104,,1821148,,1821152,,1821166,,
15:06:08,5, , ,15:04:08,1,15:04:52,1, , ,15:00:01,5,15:00:15,4,15:05:06,1,15:01:59,3,15:02:21,4,15:07:29,4,
15:06:19,4, , ,15:04:34,3,15:04:57,4, , ,15:00:54,5,15:00:22,5,15:05:23,4,15:06:36,4,15:05:15,3,15:08:58,5,
15:08:06,5, , ,15:04:47,3, , , , ,15:01:11,7,15:05:28,5,15:06:21,4,15:06:48,4,15:05:49,4,15:09:09,5,
15:09:32,6, , ,15:06:02,4, , , , ,15:01:44,7,15:06:12,5,15:08:43,5,15:08:55,5,15:06:33,4,15:09:25,7,
15:11:08,7, , ,15:09:00,5, , , , ,15:02:30,7,15:06:19,6,15:09:10,5,15:10:09,5,15:08:04,5,15:12:08,7,
15:14:34,7, , ,15:10:17,6, , , , ,15:02:41,8,15:07:26,6,15:10:45,6,15:10:35,6,15:10:48,6,15:12:14,7,
15:14:48,8, , ,15:13:20,7, , , , ,15:04:35,8,15:07:44,7,15:13:49,7,15:14:19,7,15:11:44,6,15:12:20,7,
15:15:07,8, , ,15:17:38,8, , , , ,15:04:57,10,15:08:17,7,15:16:47,8,15:16:11,7,15:14:03,7,15:14:10,7,
15:21:42,10, , ,15:21:11,9, , , , ,15:05:21,10,15:09:02,7,15:22:39,9,15:16:28,8,15:16:36,7,15:15:11,1,
15:24:58,11, , ,15:24:31,10, , , , ,15:05:29,10,15:10:14,7,15:24:09,10,15:18:21,8,15:17:08,8,15:15:45,7,
15:28:54,12, , ,15:26:51,11, , , , ,15:06:07,11,15:10:42,7,15:24:51,10,15:21:11,9,15:21:10,9,15:15:52,8,
15:30:42,13, , ,15:29:43,12, , , , ,15:06:37,11,15:11:39,7,15:27:01,11,15:23:42,10,15:23:33,10,15:16:17,8,
15:34:29,13, , ,15:32:47,13, , , , ,15:06:57,11,15:12:21,7,15:29:38,12,15:24:34,10,15:27:05,11,15:16:44,8,
15:34:52,14, , ,15:34:27,14, , , , ,15:08:16,12,15:14:02,8,15:35:08,13,15:27:11,11,15:30:04,12,15:16:57,8,
15:35:34,12, , ,15:35:36,13, , , , ,15:09:30,13,15:21:05,10,15:40:06,14,15:29:45,12,15:33:52,13,15:17:13,8,
15:35:54,14, , ,15:37:15,14, , , , ,15:10:40,15,15:25:49,11,15:42:44,15,15:31:05,12,15:37:26,14,15:17:29,8,
15:40:37,15, , ,15:37:53,14, , , , ,15:12:02,18,15:28:10,11,15:43:18,15,15:34:10,13,15:37:38,14,15:17:35,8,
15:43:13,16, , ,15:38:03,10, , , , ,15:12:13,19,15:29:53,12,15:47:33,16,15:37:23,14,15:37:57,14,15:17:41,8,
15:45:22,17, , ,15:38:12,14, , , , ,15:12:55,19,15:34:09,13,15:50:35,17,15:40:09,15,15:39:05,14,15:17:51,8,
15:48:57,17, , ,15:38:28,13, , , , ,15:13:48,20,15:39:10,14,15:58:34,18, , ,15:42:00,15,15:18:01,8,
15:56:24,18, , ,15:38:34,14, , , , ,15:14:57,21,15:40:05,14,15:58:43,19, , ,15:48:03,17,15:18:07,8,
15:56:52,19, , ,15:38:56,14, , , , ,15:16:10,22,15:40:41,15,16:00:36,19, , ,15:58:56,18,15:18:26,8,
16:03:09,20, , ,15:39:57,14, , , , ,15:17:28,23,15:43:52,16,16:03:34,20, , ,16:02:28,19,15:18:37,8,
16:06:02,21, , ,15:40:22,15, , , , ,15:18:44,14,15:44:18,16,16:09:00,21, , ,16:05:44,20,15:18:44,9,
16:08:09,22, , ,15:44:02,15, , , , ,15:18:57,8,15:44:46,17,16:11:31,22, , ,16:08:02,21,15:19:32,10,
16:12:08,23, , ,15:45:12,16, , , , ,15:20:23,9,15:47:32,17,16:11:56,23, , ,16:09:07,21,15:19:55,8,
 , , , ,15:47:37,17, , , , ,15:20:37,9,15:48:12,17,16:20:27,24, , ,16:10:54,21,15:20:07,10,
 , , , ,15:56:29,17, , , , ,15:23:52,10,15:50:26,18,16:23:20,25, , ,16:12:00,22,15:24:01,10,
 , , , , , , , , , ,15:27:32,11,15:51:25,19,16:26:04,25, , ,16:13:53,23,15:27:12,11,
 , , , , , , , , , ,15:30:08,12,15:54:40,19,16:26:29,25, , ,16:16:01,24,15:28:18,11,
 , , , , , , , , , ,15:34:53,13,15:55:00,19,16:29:25,11, , ,16:16:49,24,15:28:30,11,
 , , , , , , , , , ,15:37:24,14,15:57:52,2,16:29:41,11, , ,16:17:07,8,15:31:39,12,
 , , , , , , , , , ,15:37:53,14,15:58:09,19, , , , ,16:17:27,24,15:36:56,1,
 , , , , , , , , , ,15:38:18,14,15:58:57,20, , , , ,16:18:12,24,15:37:25,13,
 , , , , , , , , , ,15:38:38,14,16:00:56,19, , , , ,16:22:04,24,15:37:49,12,
 , , , , , , , , , ,15:42:30,15,16:02:30,20, , , , ,16:23:04,25,15:38:02,14,
 , , , , , , , , , ,15:46:59,16,16:02:39,21, , , , ,16:28:09,5,15:39:35,15,
 , , , , , , , , , ,15:48:00,17,16:03:25,22, , , , ,16:28:46,10,15:44:05,17,
 , , , , , , , , , ,15:48:16,11,16:04:40,1, , , , , , ,15:44:58,15,
 , , , , , , , , , ,15:48:23,11,16:05:47,23, , , , , , ,15:45:26,10,
 , , , , , , , , , ,15:48:32,17,16:06:49,24, , , , , , ,15:45:35,11,
 , , , , , , , , , ,15:55:30,24,16:08:09,25, , , , , , ,15:45:44,12,
 , , , , , , , , , ,15:56:49,25,16:11:37,23, , , , , , ,15:45:51,13,
 , , , , , , , , , ,15:57:55,18,16:12:08,25, , , , , , ,15:46:05,17,
 , , , , , , , , , ,15:58:33,21, , , , , , , , ,15:46:36,17,
 , , , , , , , , , ,15:58:55,15, , , , , , , , ,15:47:21,17,
 , , , , , , , , , ,15:59:05,16, , , , , , , , ,15:51:37,17,
 , , , , , , , , , ,15:59:22,18, , , , , , , , ,15:51:46,17,
 , , , , , , , , , ,16:00:33,19, , , , , , , , ,15:53:19,17,
 , , , , , , , , , ,16:05:24,20, , , , , , , , ,15:55:02,17,
 , , , , , , , , , ,16:07:59,21, , , , , , , , ,15:55:16,17,
 , , , , , , , , , ,16:09:27,22, , , , , , , , ,15:55:25,18,
 , , , , , , , , , ,16:10:11,20, , , , , , , , ,15:58:21,18,
 , , , , , , , , , ,16:11:41,22, , , , , , , , ,15:58:28,19,
 , , , , , , , , , ,16:14:09,23, , , , , , , , ,15:59:04,19,
 , , , , , , , , , ,16:16:02,24, , , , , , , , ,16:00:43,19,
