回答数
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1721027,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821001,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821002,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821004,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,7,
1821005,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821006,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821007,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821009,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821012,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,0,0,0,
1821014,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821016,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821020,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821021,0,0,0,1,0,0,5,6,0,4,9,2,1,3,4,0,0,1,5,4,2,4,3,0,8,
1821026,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821028,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821029,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821032,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821033,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821034,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821035,0,0,0,1,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821039,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821040,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,6,
1821045,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821054,0,0,0,0,2,2,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821055,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821058,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821063,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1821068,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821071,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821072,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821073,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821074,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,6,1,5,4,2,4,3,1,6,
1821075,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821076,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821077,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,6,0,0,0,0,0,0,0,0,
1821078,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,0,4,3,1,0,
1821079,0,0,0,0,1,0,0,5,0,3,9,2,1,2,3,0,6,0,4,4,2,4,3,2,8,
1821080,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1821081,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,1,0,
1821084,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,1,8,
1821085,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1821087,0,0,0,0,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821088,0,0,0,0,3,0,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821090,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821093,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821096,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821097,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821098,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821099,0,0,0,1,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821101,0,0,0,2,3,3,5,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,1,
1821102,0,0,0,1,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821104,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821105,0,0,0,2,1,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,0,4,3,5,8,
1821106,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,6,1,5,4,2,4,3,5,8,
1821107,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821108,0,0,0,0,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,1,4,
1821111,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821119,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821120,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821121,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821122,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821123,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821127,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821130,0,0,0,2,3,3,5,6,0,4,9,2,1,3,0,0,7,1,5,4,2,4,3,5,8,
1821131,0,0,0,0,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821132,0,0,0,2,3,0,0,0,0,2,3,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821133,0,0,0,1,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821134,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821136,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821137,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821138,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821139,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821140,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821141,0,0,0,0,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821142,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821145,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821147,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821148,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,0,0,0,0,0,0,0,0,0,
1821150,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821152,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821154,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821155,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821158,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,1,8,
1821159,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821160,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821162,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821163,0,0,0,2,3,3,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,8,
1821166,0,0,0,0,2,0,5,6,0,4,9,2,1,3,4,0,7,1,5,4,2,4,3,5,7,
7699990,[object Object]
