非同期率
16:30:00,0
1721027,16:29:39,2.22
1821001,16:28:10,2.03
1821002,16:27:24,2.88
1821004,16:28:18,4.27
1821005,16:27:23,4.94
1821006,16:29:35,0.5
1821007,16:29:23,0.68
1821009,16:29:29,1.75
1821012,16:12:08,19.85
1821014,16:24:26,7
1821016,16:27:41,2.57
1821020,16:27:43,2.59
1821021,16:27:54,4.42
1821026,16:18:39,12.61
1821028,16:29:41,0.35
1821029,16:29:05,1.05
1821032,16:26:34,3.81
1821033,16:24:06,8.22
1821034,16:29:13,0.87
1821035,16:26:11,4.24
1821039,16:29:21,5.24
1821040,16:15:00,16.66
1821045,16:29:08,1.62
1821054,16:25:59,4.46
1821055,16:23:14,7.51
1821058,16:22:53,7.94
1821063,16:20:58,11.46
1821066,16:30:00,0
1821068,16:26:55,3.42
1821071,16:23:36,7.14
1821072,16:26:24,8.14
1821073,16:27:56,2.33
1821074,16:28:44,1.4
1821075,16:27:19,2.98
1821076,16:20:19,10.75
1821077,15:56:29,37.24
1821078,16:14:45,16.94
1821079,16:27:22,13.62
1821080,15:04:57,94.5
1821081,16:17:22,14.03
1821084,16:29:21,0.75
1821085,16:29:31,0.53
1821086,16:30:00,0
1821087,16:26:14,4.18
1821088,16:17:18,24.07
1821090,16:28:00,3.79
1821093,16:26:23,4.01
1821096,16:19:38,11.51
1821097,16:26:30,14.31
1821098,16:26:17,4.12
1821099,16:11:37,25.35
1821101,16:16:12,15.33
1821102,16:25:12,5.53
1821104,16:29:41,0.35
1821105,16:22:52,10.7
1821106,16:25:56,4.51
1821107,16:27:53,5.05
1821108,16:28:25,1.75
1821111,16:25:50,4.98
1821119,16:27:06,3.22
1821120,16:27:37,6.18
1821121,16:27:03,12.55
1821122,16:14:33,17.16
1821123,16:29:57,0.05
1821127,16:24:11,6.46
1821130,16:28:27,1.72
1821131,16:28:02,2.18
1821132,16:24:18,8.53
1821133,16:26:44,3.62
1821134,16:23:15,7.55
1821136,16:28:54,1.25
1821137,16:28:42,1.44
1821138,16:21:11,9.79
1821139,16:28:29,5.46
1821140,16:29:41,0.35
1821141,16:21:57,14.4
1821142,16:29:51,0.16
1821145,16:23:06,7.66
1821147,16:28:35,7.03
1821148,15:40:09,55.42
1821150,16:23:09,7.61
1821152,16:28:09,2.09
1821154,16:23:52,6.81
1821155,16:27:41,2.61
1821158,16:26:44,3.62
1821159,16:26:44,3.62
1821160,16:22:11,8.68
1821162,16:28:58,1.14
1821163,16:24:31,6.09
1821166,16:20:30,22.33
7699990,16:27:37,7.66
999998,
