操作数
06:00,06:01,06:02,06:03,06:04,06:05,06:06,06:07,06:08,06:09,06:10,06:11,06:12,06:13,06:14,06:15,06:16,06:17,06:18,06:19,06:20,06:21,06:22,06:23,06:24,06:25,06:26,06:27,06:28,06:29,06:30,06:31,06:32,06:33,06:34,06:35,06:36,06:37,06:38,06:39,06:40,06:41,06:42,06:43,06:44,06:45,06:46,06:47,06:48,06:49,06:50,06:51,06:52,06:53,06:54,06:55,06:56,06:57,06:58,06:59,07:00,07:01,07:02,07:03,07:04,07:05,07:06,07:07,07:08,07:09,07:10,07:11,07:12,07:13,07:14,07:15,07:16,07:17,07:18,07:19,07:20,07:21,07:22,07:23,07:24,07:25,07:26,07:27,07:28,07:29,07:30,
1721027,3,3,3,3,3,3,3,3,3,4,4,5,5,欠,5,5,5,6,6,7,7,7,8,8,8,8,8,8,7,9,9,9,9,10,11,11,11,11,12,13,13,13,13,14,14,15,15,16,16,16,15,12,17,欠,27,17,17,17,17,17,18,18,19,19,20,20,20,21,21,22,22,23,24,24,24,24,24,25,25,25,26,22,27,18,27,25,欠,27,5,12,欠,
1821001,1,1,3,3,3,3,3,3,4,4,4,4,5,5,6,6,6,6,6,7,7,7,8,8,5,8,7,8,9,9,9,9,10,10,11,11,11,11,12,13,13,13,13,13,13,15,16,16,17,17,17,15,17,17,17,17,17,17,17,17,18,18,19,19,20,21,21,21,22,22,23,23,24,24,24,24,24,25,25,25,27,27,27,27,27,27,27,27,欠,欠,欠,
1821002,4,4,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,6,7,7,7,7,4,5,6,8,8,8,9,9,9,9,9,9,11,11,11,11,14,14,14,14,14,14,14,15,16,16,17,17,17,17,17,17,17,18,19,19,欠,17,18,18,18,18,18,20,20,22,22,23,23,24,24,24,24,25,25,27,27,27,27,1,27,27,27,17,21,25,欠,欠,欠,
1821004,欠,欠,欠,欠,欠,欠,欠,欠,1,欠,4,5,5,6,6,6,6,6,7,7,7,7,7,7,8,8,9,9,9,9,欠,9,10,10,11,11,11,12,14,14,14,13,14,14,15,17,17,17,17,17,18,17,17,17,17,17,17,17,17,17,18,18,18,19,20,19,19,20,22,22,23,23,24,24,24,24,25,25,25,27,27,27,27,27,27,27,27,27,27,欠,欠,
1821005,1,1,1,1,1,1,7,4,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,8,8,8,8,8,9,9,9,9,10,10,10,11,11,11,11,12,13,13,13,13,14,15,15,15,15,13,13,17,15,17,17,17,17,17,18,18,18,18,19,19,20,20,21,21,21,22,22,23,23,24,24,24,25,25,27,23,25,24,26,27,27,27,27,27,27,27,欠,
1821006,欠,欠,欠,1,1,1,1,2,2,4,4,5,5,5,5,5,6,6,6,7,7,7,7,6,6,5,5,4,8,8,9,9,10,10,11,11,11,11,12,13,13,13,13,14,14,15,15,16,16,17,17,17,18,18,18,18,18,18,18,18,18,19,19,20,20,20,21,21,22,22,23,23,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,
1821007,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,4,4,5,5,6,6,6,6,6,6,6,7,7,7,8,8,8,8,8,8,9,9,9,9,9,11,11,11,12,12,12,12,12,14,14,14,15,16,16,16,16,16,17,17,17,17,17,17,17,17,17,18,18,18,18,20,18,19,22,22,22,22,23,23,24,24,24,25,25,27,27,27,27,27,27,27,27,27,27,27,欠,
1821009,1,1,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,7,6,8,8,8,6,8,8,6,8,9,9,9,10,10,11,11,11,12,12,13,13,13,13,14,15,11,16,11,16,15,13,17,9,18,17,17,17,17,17,18,18,19,19,20,20,21,21,21,22,22,23,24,24,24,25,25,25,25,26,26,27,27,27,27,19,27,27,27,27,欠,
1821012,4,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,6,7,7,7,7,8,8,6,6,8,8,8,8,8,9,9,11,11,11,11,14,14,14,14,13,14,14,14,14,14,16,16,17,17,9,17,17,17,17,17,17,17,17,17,18,19,21,20,21,21,21,22,22,23,23,24,24,24,25,25,25,25,27,25,27,27,27,25,27,27,12,14,7,7,欠,
1821014,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,5,5,5,5,4,6,6,6,7,7,7,7,7,8,4,6,8,9,9,9,10,10,10,11,11,11,11,11,12,12,13,13,13,13,13,16,16,16,16,17,17,17,17,17,17,17,17,17,17,18,18,19,20,20,20,21,21,21,21,23,23,24,24,25,25,25,25,27,27,27,27,27,27,27,27,27,27,27,欠,欠,
