操作数
06:00,06:01,06:02,06:03,06:04,06:05,06:06,06:07,06:08,06:09,06:10,06:11,06:12,06:13,06:14,06:15,06:16,06:17,06:18,06:19,06:20,06:21,06:22,06:23,06:24,06:25,06:26,06:27,06:28,06:29,06:30,06:31,06:32,06:33,06:34,06:35,06:36,06:37,06:38,06:39,06:40,06:41,06:42,06:43,06:44,06:45,06:46,06:47,06:48,06:49,06:50,06:51,06:52,06:53,06:54,06:55,06:56,06:57,06:58,06:59,07:00,07:01,07:02,07:03,07:04,07:05,07:06,07:07,07:08,07:09,07:10,07:11,07:12,07:13,07:14,07:15,07:16,07:17,07:18,07:19,07:20,07:21,07:22,07:23,07:24,07:25,07:26,07:27,07:28,07:29,07:30,
1721027,0,0,0,0,0,0,0,0,4,79,43,56,0,欠,0,0,0,90,65,59,30,0,3,0,46,0,0,78,92,3,105,0,0,2,21,91,103,46,1,1,0,0,0,33,0,17,1,12,52,0,42,55,63,欠,54,46,35,44,64,73,2,69,69,0,44,46,0,15,0,89,0,56,3,102,118,4,0,44,60,14,5,6,86,54,104,86,欠,0,29,13,欠,
1821001,0,0,2,0,0,0,0,0,5,118,29,0,81,0,1,3,84,38,0,23,77,0,9,41,35,46,67,50,1,22,91,0,1,0,27,95,40,0,1,1,0,0,0,0,0,52,21,74,1,64,100,71,87,0,0,0,0,0,0,0,66,0,59,88,117,55,13,0,1,72,103,53,90,127,71,0,0,68,10,0,2,0,0,0,0,40,113,40,欠,欠,欠,
1821002,0,0,0,8,7,21,31,75,31,9,26,0,43,0,4,0,0,104,108,10,0,69,105,28,30,8,3,104,121,15,13,112,1,0,3,55,83,2,6,0,0,0,0,1,40,8,41,0,63,0,4,76,81,31,80,37,65,47,欠,24,9,0,0,0,0,63,62,29,58,29,46,58,59,65,122,17,77,29,52,58,71,3,3,2,0,13,34,18,欠,欠,欠,
1821004,欠,欠,欠,欠,欠,欠,欠,欠,0,欠,53,128,78,17,0,16,0,63,99,0,82,38,4,0,31,138,80,0,0,0,欠,102,65,0,1,25,69,84,6,0,4,1,10,0,91,113,22,0,0,3,4,12,0,0,10,0,0,0,0,86,95,54,54,131,13,6,0,67,58,142,5,97,53,131,111,0,47,101,102,16,0,0,0,0,0,0,50,128,74,欠,欠,
1821005,0,0,0,0,0,0,5,6,0,52,71,10,64,0,2,2,49,91,2,2,83,31,0,49,86,31,50,88,38,0,42,76,13,0,0,68,36,2,10,1,1,0,0,0,31,3,59,0,115,71,61,78,59,22,0,0,0,76,5,0,17,93,3,114,5,84,14,0,0,15,76,79,0,106,135,4,26,56,35,65,75,70,81,70,0,0,65,60,1,0,欠,
1821006,欠,欠,欠,0,0,0,0,4,0,133,0,30,25,0,0,0,84,46,0,71,21,0,0,52,81,95,27,26,6,0,132,0,2,0,31,88,3,0,2,1,0,0,0,28,0,36,0,54,0,51,88,91,52,0,0,0,0,0,0,0,78,8,73,38,73,0,14,0,78,1,65,0,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,
1821007,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,7,71,74,41,20,0,0,0,0,15,75,61,44,37,31,0,0,0,0,22,99,0,0,54,50,2,7,94,60,0,0,0,0,8,0,16,24,33,0,0,0,5,56,0,0,0,0,0,0,0,72,118,0,49,0,91,60,76,51,0,32,62,12,38,65,14,124,71,75,33,0,4,0,0,0,0,0,0,37,123,欠,
1821009,0,0,62,21,0,0,1,2,0,37,80,0,64,5,2,0,6,166,1,0,96,36,7,0,0,5,57,72,71,2,42,106,0,1,0,55,84,0,1,0,1,0,0,3,37,21,38,30,58,12,75,75,67,116,9,3,20,1,0,0,55,26,61,0,90,87,11,2,0,83,0,77,1,168,102,1,50,63,0,1,0,39,89,102,119,37,122,1,0,3,欠,
1821012,0,1,0,0,0,0,0,0,0,0,0,55,69,82,0,0,107,13,0,0,96,6,0,50,53,61,64,0,0,0,88,0,5,0,0,32,113,0,0,0,1,1,0,0,0,57,27,26,72,95,66,60,0,0,0,0,0,0,0,0,27,53,70,34,44,0,0,42,51,26,10,63,0,101,125,23,91,71,82,80,31,49,73,10,31,26,20,53,12,1,欠,
1821014,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,179,50,0,0,8,170,0,0,77,93,0,0,0,3,131,65,168,27,0,114,5,0,0,23,126,0,0,0,1,0,17,0,0,0,0,116,61,16,149,134,160,2,0,0,0,0,0,5,0,99,1,64,20,66,37,17,0,0,114,33,66,172,82,2,0,65,79,2,0,0,0,0,0,0,0,180,153,0,欠,欠,
1821016,欠,欠,欠,欠,欠,欠,欠,欠,3,42,73,3,56,5,0,0,30,71,2,0,72,16,23,57,93,35,0,0,0,0,53,60,4,3,4,75,52,0,2,0,1,0,0,2,26,0,29,15,46,23,65,73,95,0,0,2,0,0,0,0,75,2,72,2,59,1,18,11,1,76,0,54,35,87,88,21,1,62,22,12,42,63,49,65,61,49,0,62,2,欠,欠,
1821020,欠,7,0,0,0,0,0,0,0,47,127,1,63,0,0,0,22,114,2,0,107,4,0,53,62,74,82,19,0,36,103,0,0,4,3,103,13,0,0,0,3,0,0,5,34,35,15,22,21,0,0,0,0,0,0,53,56,96,46,0,98,25,0,0,87,67,41,44,15,93,20,70,75,132,74,0,77,5,0,1,11,44,28,39,18,82,113,欠,45,欠,欠,
1821021,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,148,65,156,0,0,0,134,2,2,49,73,0,81,110,62,121,97,165,0,14,164,17,13,17,0,110,73,0,0,2,0,5,2,38,12,50,0,64,79,176,61,100,38,95,0,1,0,0,0,36,105,0,92,63,49,0,43,2,51,25,0,66,135,124,41,0,87,71,1,15,4,9,4,68,87,40,138,0,0,0,欠,
1821026,欠,欠,欠,12,0,0,0,0,1,69,96,0,101,10,0,0,49,128,0,0,129,0,5,48,116,78,0,0,0,4,119,22,1,4,2,132,0,3,0,0,7,2,0,2,33,21,29,43,23,33,78,112,109,6,0,19,0,0,3,0,97,38,54,0,85,5,15,0,0,127,0,78,41,235,126,106,112,120,84,84,64,74,55,94,0,59,欠,欠,欠,欠,欠,
1821028,0,4,4,0,0,0,0,0,1,0,120,4,133,73,0,0,119,55,0,0,111,39,1,124,58,63,欠,欠,93,40,0,84,0,1,1,25,欠,0,2,0,0,1,0,0,46,0,38,29,欠,24,138,欠,80,43,85,2,0,0,0,0,89,1,68,0,71,0,72,4,42,42,0,65,1,173,76,0,0,67,13,1,0,87,150,106,134,152,欠,23,4,欠,欠,
1821029,0,0,0,1,15,0,6,0,0,158,42,7,99,0,0,20,144,13,0,0,0,115,34,0,0,0,4,43,244,3,0,162,0,0,0,124,71,0,0,0,0,0,0,0,66,0,49,110,0,0,116,201,75,0,0,0,0,0,0,0,0,14,18,0,113,176,9,13,54,130,1,102,111,277,80,0,0,127,12,0,1,142,150,4,17,8,13,85,24,欠,欠,
1821032,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,
1821033,0,0,0,2,0,5,1,9,0,123,0,12,57,0,5,0,140,0,0,66,42,0,24,112,73,72,58,15,2,23,68,0,1,0,56,87,0,0,1,3,0,0,0,77,13,40,0,56,0,76,128,欠,107,39,0,0,0,0,0,0,82,0,91,3,60,0,13,0,0,82,0,94,40,192,0,0,51,50,0,3,0,75,119,86,99,50,66,36,欠,欠,欠,
1821034,欠,欠,欠,欠,欠,欠,欠,欠,欠,3,118,0,61,0,1,0,17,116,10,1,66,52,0,51,72,12,9,2,117,0,85,6,0,0,1,6,129,0,0,0,1,0,0,0,39,0,0,41,53,0,2,0,0,0,0,0,0,0,100,138,159,78,0,0,0,0,9,23,83,49,72,1,欠,131,27,0,0,40,43,0,0,0,0,0,0,95,143,89,欠,欠,欠,
1821035,117,3,0,74,0,0,0,0,0,0,80,4,29,174,3,0,0,153,168,58,91,92,0,0,0,0,0,0,154,189,11,226,3,0,0,62,215,44,0,0,0,0,0,0,0,1,165,62,149,115,144,143,127,70,0,0,0,1,0,0,0,179,2,190,26,157,0,24,0,57,145,0,161,41,240,172,0,117,134,152,133,160,124,84,24,0,34,0,0,0,欠,
1821039,欠,欠,欠,欠,欠,2,0,0,0,111,3,0,86,0,0,0,137,3,0,78,23,0,2,1,1,0,0,118,30,0,167,1,0,1,25,107,0,0,0,0,0,0,0,41,0,38,5,54,89,76,92,37,欠,67,0,0,0,0,0,0,91,0,89,40,41,0,17,0,0,86,71,10,3,152,99,9,107,83,61,79,36,1,0,2,0,43,0,0,0,4,欠,
1821040,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,
1821041,欠,欠,欠,欠,欠,欠,欠,6,6,128,27,19,28,3,0,2,111,4,0,54,51,0,0,72,84,102,18,10,0,25,88,0,1,0,0,134,0,0,0,2,0,0,0,0,54,63,4,69,0,102,165,69,0,0,18,15,23,9,7,11,94,0,97,38,46,2,12,0,82,0,1,64,10,247,60,1,97,0,1,0,16,170,137,126,1,0,17,1,1,欠,欠,
1821045,欠,欠,欠,欠,欠,欠,欠,欠,5,16,130,0,38,23,8,0,61,67,0,0,95,28,0,65,117,113,98,65,34,0,33,72,19,0,35,50,131,1,1,0,1,0,0,0,46,4,36,0,64,15,90,123,123,114,5,0,0,0,0,0,0,121,94,14,123,33,26,0,0,76,0,68,21,149,136,0,37,59,69,69,77,68,114,66,72,106,55,0,0,欠,欠,
1821054,欠,30,63,0,0,0,0,0,0,128,1,75,8,1,2,0,150,0,0,83,24,0,4,79,92,121,27,35,0,0,188,7,1,0,43,135,6,0,4,2,2,0,0,6,43,65,0,61,8,107,115,133,89,71,124,71,21,20,0,4,125,146,75,51,86,2,15,0,63,45,70,0,116,167,41,7,118,6,3,0,16,119,114,100,92,80,欠,欠,欠,欠,欠,
1821055,0,0,0,0,0,0,28,14,33,12,104,1,46,20,2,0,11,88,64,0,23,66,0,1,60,48,53,91,0,0,81,34,0,10,0,57,97,0,1,5,1,2,0,20,12,6,48,68,72,95,82,32,68,0,0,0,0,13,0,1,74,1,65,0,111,11,0,13,36,85,4,83,86,115,47,0,37,29,61,0,0,0,0,51,83,92,61,51,7,欠,欠,
1821063,欠,欠,欠,欠,欠,欠,欠,欠,1,13,226,3,87,2,0,0,0,198,57,0,136,0,0,32,65,76,105,149,0,0,129,24,31,0,0,135,152,0,0,0,0,0,0,0,47,0,69,17,110,43,207,164,181,26,0,0,0,0,0,0,150,0,92,106,96,0,60,0,27,147,40,101,147,275,68,0,157,163,129,0,93,151,0,0,0,0,0,0,0,11,欠,
