Describe_time
From, To, From_time, To_time, destance
4, 5, 15:04:35, 15:06:52, 137000
5, 6, 15:06:52, 15:11:19, 267000
6, 7, 15:11:19, 15:12:49, 90000
7, 8, 15:12:49, 15:15:52, 183000
8, 9, 15:15:52, 15:19:15, 203000
9, 10, 15:19:15, 15:23:43, 268000
10, 11, 15:23:43, 15:26:03, 140000
11, 12, 15:26:03, 15:28:54, 171000
12, 13, 15:28:54, 15:31:24, 150000
13, 14, 15:31:24, 15:34:00, 156000
14, 15, 15:34:00, 15:36:59, 179000
15, 16, 15:36:59, 15:38:44, 105000
16, 17, 15:38:44, 15:39:31, 47000
17, 18, 15:39:31, 15:40:31, 60000
18, 19, 15:40:31, 15:42:15, 104000
19, 20, 15:42:15, 15:44:34, 139000
20, 21, 15:44:34, 15:48:42, 248000
21, 22, 15:48:42, 15:53:58, 316000
22, 23, 15:53:58, 15:56:19, 141000
23, 24, 15:56:19, 15:57:01, 42000
24, 25, 15:57:01, 16:01:41, 280000
25, 26, 16:01:41, 16:03:36, 115000
26, 27, 16:03:36, 16:08:14, 278000
27, 28, 16:08:14, 16:13:32, 318000
28, 29, 16:13:32, 16:16:32, 180000
